procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372164  31592 431988    0    0     0     0 2637  375 10 16 74  0  0
 1  0    512 372164  31592 431988    0    0     0     0 2621  330  9 16 74  0  0
 1  0    512 372164  31592 431988    0    0     0     0 2762  581  9 18 74  0  0
 1  0    512 372164  31592 431988    0    0     0     0 2686  448 12 14 74  0  0
 1  0    512 372164  31600 431980    0    0     0    12 2922  840 11 16 73  0  0
 1  0    512 372164  31600 431980    0    0     0     0 3042 1002  8 18 74  0  0
 1  0    512 372164  31600 431980    0    0     0     0 2701  483  8 18 74  0  0
 1  0    512 372164  31600 431980    0    0     0     0 2654  374 10 16 74  0  0
 1  0    512 372164  31600 431980    0    0     0     0 2713  454  8 18 74  0  0
 1  0    512 372164  31600 431988    0    0     0     0 3004 1120 15 13 72  0  0
 1  0    512 372164  31608 431988    0    0     0    16 2843  713  9 17 74  0  0
 1  0    512 372164  31608 431988    0    0     0     0 2705  473 10 17 74  0  0
 1  0    512 372164  31608 431988    0    0     0     0 2961  898  9 18 73  0  0
 1  0    512 372164  31608 431988    0    0     0     0 2919  830 11 15 74  0  0
 1  0    512 372164  31608 431988    0    0     0     4 2855  746 12 15 73  0  0
 1  0    512 372164  31608 431988    0    0     0     0 2658  387  9 17 74  0  0
 1  0    512 372164  31616 431984    0    0     0    12 2795  658  8 18 74  0  0
 1  0    512 372172  31616 431992    0    0     0     0 3030  958 11 16 72  0  0
 1  0    512 372172  31616 431992    0    0     0     0 2890  775 13 14 73  0  0
 1  0    512 372172  31616 431992    0    0     0     0 2957  928 10 17 74  0  0
 1  0    512 372172  31616 431992    0    0     0     0 2966  908  8 18 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1    512 372172  31624 431984    0    0     0    12 3080 1103 12 17 72  0  0
 1  0    512 372172  31624 431984    0    0     0     0 2859  702  9 18 73  0  0
 1  0    512 372172  31624 431984    0    0     0     0 2983  960 11 17 73  0  0
 1  0    512 372172  31624 431984    0    0     0     0 2915  816  9 17 74  0  0
 1  0    512 372172  31624 431984    0    0     0     0 2953  894 11 16 73  0  0
 1  0    512 372172  31624 431984    0    0     0     0 2741  534 10 16 74  0  0
 1  0    512 372172  31632 431976    0    0     0    12 3014 1007 10 17 73  0  0
 1  0    512 372172  31632 431976    0    0     0     0 2926  836 12 15 74  0  0
 1  0    512 372172  31632 431976    0    0     0     4 3085 1134 10 17 73  0  0
 1  0    512 372172  31632 431976    0    0     0     0 2844  717  9 17 74  0  0
 1  0    512 372172  31632 431976    0    0     0     0 2746  579  9 16 75  0  0
 1  0    512 372172  31632 431976    0    0     0     0 2768  547  8 18 74  0  0
 1  0    512 372172  31640 431992    0    0     0    12 2785  635 10 17 73  0  0
